Employee ID,Name,Department,Date,Time,Status
EMP005,Jane Doe,Operations,2026-06-25,10:08:39,Present
EMP004,Emily Watson,Sales,2026-06-25,10:07:37,Present
EMP001,Anish Karthick,Engineering,2026-06-23,09:15:00,Verified
EMP003,John Doe,IT,2026-06-23,09:05:43,Verified
EMP002,Sarah Jenkins,HR,2026-06-23,08:58:12,Verified
EMP001,Anish Karthick,Engineering,2026-06-22,09:15:00,Verified
EMP003,John Doe,IT,2026-06-22,09:05:43,Verified
EMP002,Sarah Jenkins,HR,2026-06-22,08:58:12,Verified
EMP001,Anish Karthick,Engineering,2026-06-21,09:15:00,Verified
EMP003,John Doe,IT,2026-06-21,09:05:43,Verified
EMP002,Sarah Jenkins,HR,2026-06-21,08:58:12,Verified
EMP001,Anish Karthick,Engineering,2026-06-20,09:15:00,Verified
EMP003,John Doe,IT,2026-06-20,09:05:43,Verified
EMP002,Sarah Jenkins,HR,2026-06-20,08:58:12,Verified
EMP001,Anish Karthick,Engineering,2026-06-19,09:15:00,Verified
EMP003,John Doe,IT,2026-06-19,09:05:43,Verified
EMP002,Sarah Jenkins,HR,2026-06-19,08:58:12,Verified
